datetime,open,high,low,close,volume,adx,bop,ema,sma1,sma2,sma3,sma4,obv,kst,kst_signal,macd,macd_signal,macd_hist,mfi,percent_b,ultosc,Pct_change
2021-07-26 00:00:00,84.42,84.91,82.37,84.14,34350100,30.51494,-0.11024,63.18359,82.71,83.561,75.2942,61.6258,2314398000.0,144.17849,185.29148,2.25773,3.01375,-0.75602,46.3098,0.55249,66.85817,-0.0267206477732794
2021-07-19 00:00:00,81.93,84.54,81.13,84.02,32321400,31.68509,0.6129,62.97297,82.22428,83.2885,74.864,61.48015,2280047900.0,155.79427,192.99314,2.33469,3.20275,-0.86807,45.09001,0.56201,55.61625,-0.0014261944378417
2021-07-12 00:00:00,79.66,81.81,78.68,81.73,38881100,33.08479,0.66134,62.76145,82.52429,82.853,74.4178,61.3372,2247726500.0,167.18056,199.02811,2.41117,3.41977,-1.0086,44.74363,0.4178,50.15719,-0.027255415377291
2021-07-05 00:00:00,82.48,83.5,80.94,81.09,44611000,35.52295,-0.54297,62.57081,83.40714,82.444,73.9904,61.2007,2208845400.0,179.18453,203.37075,2.70688,3.67192,-0.96504,51.23079,0.41474,46.00712,-0.0078306619356417
2021-06-28 00:00:00,82.84,83.2,80.67,82.98,28101200,37.20676,0.05534,62.38468,84.28857,82.142,73.598,61.0638,2253456400.0,191.99123,205.46715,3.11011,3.91318,-0.80307,59.50992,0.54896,51.72064,0.02330743618202
2021-06-21 00:00:00,82.39,83.08,81.49,82.88,28121200,39.14723,0.30817,62.1777,84.80571,81.71,73.1616,60.9163,2225355200.0,198.77804,205.44253,3.3871,4.11395,-0.72685,65.3344,0.56363,46.42064,-0.0012051096649796
2021-06-14 00:00:00,81.33,82.9,81.3,82.13,35133700,40.79723,0.5,61.96963,85.52429,81.2425,72.6638,60.7748,2197234000.0,205.45392,204.08119,3.70155,4.29566,-0.59411,65.96475,0.54511,47.77575,-0.0090492277992277
2021-06-07 00:00:00,85.88,86.09,80.74,80.74,51923400,42.64073,-0.96075,61.76702,86.34429,80.668,72.1718,60.63945,2162100300.0,210.32056,202.38119,4.12543,4.44419,-0.31876,73.40755,0.50332,54.19066,-0.0169243881651041
2021-05-31 00:00:00,87.95,87.95,85.66,86.12,32212500,44.62603,-0.79913,61.57633,86.67286,80.35,71.6468,60.51205,2214023700.0,214.74167,199.68001,4.74798,4.52388,0.2241,84.13054,0.75775,64.33099,0.0666336388407233
2021-05-24 00:00:00,88.27,88.62,86.65,87.91,23965600,43.80307,-0.18274,61.32966,86.21429,79.811,71.048,60.3577,2246236200.0,213.49345,195.84499,4.92573,4.46785,0.45788,83.29002,0.86591,68.18376,0.0207849512308406
2021-05-17 00:00:00,87.11,87.78,86.07,87.26,27434500,42.13302,0.08772,61.06252,85.46429,79.241,70.3906,60.18885,2222270600.0,210.10902,192.51453,4.89871,4.35338,0.54533,83.1522,0.88188,70.59219,-0.007393925605733
2021-05-10 00:00:00,87.96,88.88,85.38,86.6,39730900,40.47909,-0.38857,60.79923,84.43429,78.4975,69.842,60.0216,2194836100.0,206.26431,190.24934,4.85914,4.21705,0.64209,83.04672,0.8962,70.45045,-0.0075636030254413
2021-05-03 00:00:00,88.89,89.21,85.46,87.91,44373700,38.69793,-0.26133,60.53993,83.41857,77.7465,69.219,59.85785,2234567000.0,198.0522,189.00842,4.80516,4.05653,0.74864,91.67318,1.01141,75.1219,0.0151270207852194
2021-04-26 00:00:00,83.75,88.04,83.66,87.87,36502500,36.72317,0.94064,60.26485,82.24429,76.9615,68.5194,59.6884,2190193300.0,191.76958,189.03925,4.53299,3.86937,0.66362,82.5482,1.10326,77.18717,-0.0004550108065065
2021-04-19 00:00:00,83.24,83.97,82.67,83.04,23396000,34.77472,-0.15384,59.98741,80.93286,76.113,67.7794,59.5222,2153690800.0,186.52604,190.45281,4.12374,3.70346,0.42028,77.20402,0.9384,73.78828,-0.0549675657220893
2021-04-12 00:00:00,82.66,83.18,81.19,82.91,29517900,33.45247,0.12563,59.75573,79.82857,75.55,67.1682,59.37625,2130294800.0,190.15389,193.40482,4.03319,3.59839,0.4348,77.65607,0.99484,74.21171,-0.0015655105973025
2021-04-05 00:00:00,80.0,82.88,79.78,82.66,25956000,32.2145,0.85807,59.52302,78.49143,74.99,66.5258,59.22635,2100776900.0,186.00998,196.22587,3.87218,3.48969,0.38249,79.02344,1.06442,68.37161,-0.0030153178144975
2021-03-29 00:00:00,80.31,80.94,78.7,80.05,34517100,30.95143,-0.11607,59.29049,77.40429,74.345,65.8698,59.07525,2074820900.0,180.22645,200.33276,3.63581,3.39407,0.24174,78.33837,0.96148,66.72595,-0.0315751270263731
2021-03-22 00:00:00,79.4,80.17,78.45,79.49,27310200,30.07208,0.05232,59.08185,76.58857,73.793,65.274,58.93805,2040303800.0,183.51936,206.27785,3.54698,3.33364,0.21334,74.57999,0.97363,68.40483,-0.0069956277326671
2021-03-15 00:00:00,77.55,79.75,75.83,79.69,38714900,29.33323,0.54592,58.87674,75.73714,73.2185,64.7126,58.808,2067614000.0,189.72225,213.67843,3.43902,3.2803,0.15871,74.18147,1.04638,71.60911,0.002516039753428
2021-03-08 00:00:00,75.56,79.11,75.43,78.69,39447400,28.65061,0.85054,58.66757,74.44429,72.393,63.971,58.6749,2028899100.0,195.09604,220.44863,3.23084,3.24062,-0.00979,68.62953,0.97399,60.53684,-0.0125486259254611
2021-03-01 00:00:00,74.52,76.52,72.34,75.31,54016700,28.08521,0.189,58.46634,73.82857,71.7585,63.2824,58.54245,1989451700.0,198.32966,226.07815,3.01995,3.24307,-0.22312,67.56092,0.77157,54.90009,-0.0429533612911423
2021-02-22 00:00:00,74.96,76.58,73.07,73.55,42821000,28.23928,-0.40171,58.29705,73.83286,71.3065,62.5898,58.42245,1935435000.0,204.49167,229.3645,3.05099,3.29885,-0.24786,64.53629,0.66641,50.01683,-0.0233700703757802
2021-02-15 00:00:00,74.62,75.38,73.2,75.05,23842700,27.99518,0.19725,58.14376,74.25571,70.9545,62.1894,58.31765,1978256000.0,213.09412,231.45721,3.22544,3.36082,-0.13537,73.78766,0.79392,60.32341,0.0203942895989122
2021-02-08 00:00:00,74.16,74.4,72.95,74.34,28994400,28.09625,0.12413,57.97384,73.87571,70.367,61.7428,58.20445,1954413300.0,215.5433,232.2034,3.24846,3.39466,-0.1462,74.88672,0.76659,58.93473,-0.0094603597601597
